age,gender,height,weight,workout_days,workout_minutes,daily_calories,protein_intake,sleep_hours,future_weight
31,1,1.766,71.3,3,88,2704.0,81.0,8.9,73.96
51,0,1.61,55.8,4,47,1300.0,98.0,7.9,55.57
34,1,1.703,76.0,5,74,2430.0,113.0,6.5,76.86
32,1,1.827,82.1,3,54,2742.0,150.0,7.4,85.03
27,1,1.676,54.1,0,56,2120.0,61.0,6.4,56.01
31,1,1.697,60.2,4,51,1841.0,101.0,8.0,60.09
29,0,1.606,47.1,1,74,1525.0,86.0,7.3,48.67
36,0,1.681,63.4,5,95,2210.0,94.0,8.6,66.4
39,1,1.77,76.6,2,72,1532.0,111.0,7.2,75.15
23,0,1.765,73.3,2,31,1320.0,138.0,7.4,72.43
18,0,1.64,88.9,0,50,2555.0,188.0,5.5,91.65
18,1,1.655,72.0,1,16,2074.0,129.0,5.1,71.97
35,0,1.79,87.6,1,96,1627.0,137.0,7.4,86.85
20,1,1.878,64.7,3,62,2026.0,92.0,5.4,64.19
18,0,1.689,65.9,2,39,2090.0,100.0,6.2,67.63
33,0,1.666,61.8,3,60,2085.0,116.0,7.5,64.59
52,1,1.796,70.6,1,93,1853.0,96.0,6.7,71.52
30,0,1.662,58.7,0,38,1329.0,79.0,5.9,57.52
38,0,1.564,45.0,0,44,1607.0,47.0,6.4,47.45
31,1,1.667,51.7,4,32,1385.0,126.0,8.8,51.19
29,0,1.551,67.1,6,66,1847.0,141.0,7.2,68.25
38,1,1.816,76.0,0,52,2305.0,103.0,7.6,78.19
27,0,1.586,55.9,6,12,1418.0,128.0,7.2,56.21
32,0,1.651,68.2,2,62,2249.0,118.0,8.7,70.35
33,1,1.83,96.6,4,74,2234.0,126.0,7.5,95.67
24,1,1.797,76.6,2,44,2020.0,106.0,7.8,76.81
39,0,1.647,74.3,3,54,1835.0,94.0,5.2,74.78
28,1,1.763,66.4,6,51,2140.0,126.0,7.0,66.79
23,1,1.665,62.8,3,69,2174.0,151.0,6.9,64.78
35,1,1.808,78.5,0,22,2087.0,118.0,5.9,79.32
22,1,1.742,96.0,4,42,3167.0,135.0,5.6,99.68
30,1,1.73,90.5,2,49,2321.0,136.0,6.8,91.58
30,1,1.758,85.4,2,70,2477.0,185.0,9.8,87.99
40,1,1.763,73.8,1,55,1550.0,133.0,6.0,72.99
34,0,1.693,87.3,0,29,1591.0,136.0,7.4,86.93
30,1,1.801,91.9,5,43,2398.0,102.0,7.0,93.14
37,1,1.749,50.6,3,80,1942.0,89.0,7.8,51.44
43,1,1.813,67.4,6,29,1731.0,102.0,9.2,68.4
35,0,1.74,78.5,5,76,2106.0,171.0,4.8,79.42
30,1,1.73,53.2,6,74,1300.0,80.0,6.1,50.9
18,1,1.751,62.7,1,79,1756.0,79.0,8.8,62.94
20,1,1.75,67.4,3,77,2656.0,124.0,7.5,70.42
27,0,1.575,56.3,6,82,1844.0,104.0,6.6,57.34
25,0,1.619,60.1,3,19,2173.0,82.0,6.7,63.39
28,0,1.632,63.3,6,81,1568.0,88.0,5.3,63.06
31,0,1.636,77.0,2,65,1798.0,171.0,7.5,78.18
35,0,1.685,67.0,3,44,1486.0,107.0,7.2,67.08
29,1,1.707,66.5,4,31,1867.0,114.0,7.1,66.4
34,0,1.454,45.0,3,56,1445.0,78.0,6.5,45.76
31,1,1.768,85.6,6,103,2745.0,91.0,7.4,87.02
18,0,1.499,51.1,4,65,1599.0,104.0,6.1,51.74
22,0,1.641,53.7,6,45,1724.0,87.0,6.4,54.53
29,1,1.843,87.5,3,102,2912.0,121.0,7.5,89.48
19,1,1.784,67.0,1,68,1703.0,105.0,6.7,66.44
35,1,1.756,67.0,6,69,1889.0,69.0,7.2,67.57
44,0,1.67,71.2,2,61,1952.0,69.0,6.7,72.13
41,0,1.673,64.1,1,65,1789.0,118.0,7.6,65.85
28,0,1.555,77.1,2,6,1845.0,139.0,6.5,78.1
43,1,1.782,79.9,6,58,2426.0,115.0,7.4,81.88
31,0,1.63,69.2,6,71,2492.0,149.0,8.0,72.79
27,0,1.738,56.4,1,87,1752.0,114.0,7.0,57.25
24,0,1.732,64.6,6,101,2663.0,84.0,6.9,67.07
27,1,1.707,55.7,0,77,1992.0,90.0,6.6,57.38
27,1,1.69,56.6,3,59,1662.0,83.0,6.9,56.2
32,0,1.683,72.4,3,56,1549.0,56.0,8.7,73.35
31,0,1.603,70.4,0,41,1455.0,73.0,8.3,70.52
30,0,1.584,67.8,0,66,1759.0,110.0,7.7,69.46
34,1,1.767,72.4,4,95,2336.0,97.0,6.6,72.5
41,1,1.741,68.0,1,48,1593.0,131.0,8.6,68.24
39,0,1.592,73.2,6,59,1852.0,133.0,9.1,73.87
18,1,1.87,112.7,3,41,2420.0,260.0,5.1,112.43
18,0,1.492,55.1,4,76,2023.0,64.0,7.0,57.62
38,1,1.791,91.8,6,80,2415.0,211.0,7.3,93.41
18,1,1.894,89.7,6,41,2844.0,186.0,6.6,92.39
28,0,1.695,81.6,5,67,2194.0,133.0,5.4,82.49
19,0,1.661,51.7,3,2,1731.0,113.0,6.2,53.55
18,1,1.692,65.7,6,50,1872.0,114.0,8.6,66.79
35,1,1.777,78.1,0,81,2284.0,160.0,6.1,79.39
37,0,1.571,70.4,4,46,1581.0,97.0,6.4,71.0
25,1,1.761,65.6,5,29,1626.0,117.0,7.3,64.52
18,0,1.678,49.6,4,69,2272.0,85.0,7.1,52.41
25,1,1.749,67.8,4,53,2283.0,83.0,6.5,69.23
34,0,1.603,69.0,1,59,1497.0,85.0,7.9,69.77
18,0,1.629,46.1,5,62,2304.0,88.0,7.9,49.53
32,0,1.618,52.7,4,73,2192.0,88.0,6.1,54.91
30,1,1.72,73.4,3,77,3103.0,127.0,5.7,76.86
35,0,1.563,56.5,1,63,1300.0,71.0,7.6,56.34
31,1,1.714,80.6,3,79,2188.0,101.0,7.0,81.92
21,1,1.824,62.3,5,55,2711.0,96.0,7.6,65.04
41,0,1.721,67.2,4,61,1605.0,119.0,7.0,67.84
29,0,1.615,73.9,4,56,1593.0,117.0,6.5,73.13
30,0,1.604,52.0,5,32,1533.0,85.0,6.9,52.66
22,1,1.904,108.2,3,85,3364.0,197.0,8.6,112.1
26,1,1.778,63.4,6,56,2157.0,123.0,6.3,64.53
22,1,1.802,85.0,2,87,3134.0,147.0,6.9,88.44
28,0,1.789,74.8,4,64,2100.0,122.0,5.6,75.33
45,0,1.657,54.0,4,64,2133.0,80.0,5.4,57.06
18,1,1.773,70.4,6,74,2311.0,93.0,5.7,69.84
18,0,1.596,65.3,1,61,1406.0,94.0,5.1,64.62
43,1,1.77,73.7,3,43,2156.0,122.0,5.8,74.16
28,1,1.795,95.0,6,52,2451.0,189.0,7.6,95.85
24,1,1.796,91.8,6,79,2362.0,146.0,7.8,91.75
39,1,1.835,64.0,4,69,2349.0,82.0,5.7,65.05
25,1,1.706,59.8,3,38,1950.0,70.0,5.7,60.63
46,0,1.582,49.6,1,61,1300.0,81.0,7.0,50.12
36,1,1.893,73.8,3,36,1913.0,140.0,9.6,74.79
26,0,1.544,70.4,3,57,1932.0,82.0,6.3,71.21
49,1,1.774,83.8,6,75,2167.0,178.0,6.8,84.87
25,0,1.561,54.4,1,43,1300.0,63.0,8.5,54.86
37,0,1.538,57.6,4,53,1361.0,84.0,8.4,57.84
33,0,1.653,81.7,3,36,2096.0,161.0,7.9,83.13
42,1,1.723,94.5,2,67,2430.0,132.0,8.2,97.06
44,0,1.617,70.7,4,58,2104.0,115.0,8.5,72.84
30,0,1.699,51.5,6,42,1768.0,102.0,6.5,52.8
23,1,1.62,66.1,1,63,2691.0,130.0,7.7,70.33
34,1,1.714,78.8,0,55,1818.0,116.0,6.7,78.76
24,1,1.692,71.6,5,65,2256.0,125.0,6.2,71.96
48,0,1.603,73.4,2,37,1693.0,112.0,7.7,74.04
31,1,1.713,77.2,4,49,2275.0,90.0,6.9,79.08
27,1,1.822,63.6,5,58,2442.0,139.0,7.0,65.84
32,1,1.858,72.0,1,69,2448.0,45.0,8.4,74.63
18,1,1.815,72.8,2,35,2015.0,123.0,7.5,72.1
21,0,1.531,64.1,4,57,1459.0,134.0,6.9,63.72
41,1,1.77,67.0,5,75,2352.0,146.0,7.0,69.35
24,0,1.577,63.4,0,56,1706.0,77.0,5.6,63.67
21,0,1.599,62.5,4,49,1492.0,114.0,7.9,61.66
35,1,1.7,88.4,0,44,2476.0,106.0,7.0,90.95
41,0,1.673,67.1,0,45,1692.0,85.0,6.8,66.95
36,1,1.94,64.3,3,59,1772.0,131.0,8.9,64.56
39,0,1.581,62.1,6,15,1600.0,113.0,8.0,63.44
23,1,1.621,83.7,1,44,2096.0,136.0,7.3,84.55
18,0,1.584,64.0,3,63,2366.0,124.0,7.5,67.34
44,1,1.769,62.3,0,70,1797.0,117.0,8.3,63.47
27,1,1.766,65.1,1,36,1985.0,97.0,6.9,66.34
28,0,1.634,54.7,1,42,1499.0,53.0,7.9,55.43
42,1,1.777,99.9,1,56,2424.0,143.0,5.9,101.57
35,0,1.688,65.0,2,67,2018.0,118.0,7.4,68.09
34,1,1.694,59.7,4,48,2093.0,69.0,5.3,60.27
49,0,1.597,61.1,0,52,1360.0,81.0,7.3,61.35
24,1,1.689,65.3,1,62,2283.0,92.0,8.5,67.33
38,0,1.574,73.0,5,32,2085.0,131.0,6.5,75.78
31,1,1.664,55.0,2,88,1936.0,76.0,7.2,56.06
32,1,1.884,99.1,2,57,2763.0,156.0,6.3,100.93
44,1,1.706,70.9,5,48,2065.0,93.0,7.4,71.93
35,0,1.723,84.9,0,78,1879.0,142.0,5.9,85.02
35,1,1.783,95.1,3,58,2866.0,166.0,5.9,96.58
40,0,1.638,65.9,2,52,1300.0,182.0,7.6,66.02
27,0,1.528,53.5,0,62,1316.0,61.0,6.0,52.91
22,1,1.8,79.7,2,56,2387.0,114.0,8.8,81.55
21,0,1.699,70.9,0,43,1378.0,139.0,8.7,71.74
18,1,1.815,60.6,1,76,2478.0,60.0,6.0,63.5
49,1,1.748,94.1,6,25,2282.0,250.0,9.6,96.33
20,0,1.562,59.5,3,47,1800.0,88.0,7.0,60.9
28,0,1.649,52.7,5,92,2298.0,66.0,7.1,55.77
28,0,1.67,51.6,2,57,1731.0,91.0,8.0,53.5
33,1,1.695,53.2,5,23,1596.0,96.0,8.6,53.34
37,1,1.767,83.2,2,78,1915.0,102.0,8.6,83.0
38,1,1.737,67.3,2,49,1881.0,91.0,9.3,68.77
25,0,1.683,61.6,6,34,1882.0,125.0,7.6,62.77
28,1,1.674,74.1,4,76,1715.0,89.0,7.6,73.64
33,0,1.678,62.6,4,77,2378.0,120.0,7.6,65.61
28,1,1.887,90.5,6,84,2803.0,133.0,7.3,92.31
44,1,1.801,78.7,5,36,2119.0,206.0,5.6,79.33
34,1,1.586,64.9,1,52,1402.0,135.0,4.9,64.07
37,1,1.845,62.5,2,49,2083.0,72.0,6.0,63.76
36,1,1.836,76.1,3,36,2370.0,112.0,8.0,77.75
41,0,1.609,65.4,4,66,1789.0,131.0,6.9,67.58
32,0,1.631,59.1,0,77,1557.0,45.0,5.9,60.03
18,1,1.7,77.6,0,46,2109.0,92.0,8.4,78.73
34,1,1.727,98.8,0,58,1736.0,132.0,6.4,97.85
24,1,1.865,94.2,1,58,2519.0,94.0,4.6,94.94
25,0,1.575,75.9,6,77,2889.0,132.0,5.8,79.8
35,1,1.629,69.7,2,55,2459.0,100.0,6.5,71.64
41,0,1.638,61.8,2,56,1705.0,81.0,6.2,62.49
30,1,1.754,75.6,5,73,2562.0,165.0,7.0,77.06
33,1,1.844,107.9,4,57,2298.0,206.0,7.4,107.8
45,0,1.741,66.4,0,44,1529.0,119.0,7.4,67.95
32,1,1.73,58.1,1,33,1837.0,91.0,7.0,58.6
53,0,1.658,58.1,5,43,1300.0,109.0,8.2,57.57
35,1,1.768,73.2,3,60,2162.0,163.0,8.3,75.28
18,1,1.707,61.8,2,29,1857.0,73.0,7.7,62.37
37,1,1.841,105.9,2,60,1831.0,127.0,8.2,105.27
33,0,1.691,69.4,1,25,1667.0,134.0,5.5,68.79
42,0,1.63,76.8,5,35,1318.0,145.0,4.9,75.1
36,1,1.772,73.5,5,68,2559.0,110.0,6.0,74.83
29,0,1.604,48.8,4,46,1638.0,93.0,7.5,50.46
19,1,1.723,58.1,6,60,1738.0,82.0,8.2,58.11
28,1,1.76,62.0,1,54,1845.0,105.0,5.9,61.93
22,1,1.746,81.3,5,86,2414.0,118.0,7.5,82.29
25,1,1.849,91.3,4,58,2598.0,198.0,8.2,94.15
35,1,1.775,83.3,5,35,1728.0,149.0,6.6,82.04
45,0,1.611,50.9,2,67,1411.0,83.0,6.5,52.06
34,1,1.761,71.6,4,34,2356.0,112.0,7.9,72.81
19,1,1.834,66.6,5,75,2862.0,122.0,6.2,69.4
34,1,1.788,81.7,6,71,2773.0,165.0,6.2,84.78
41,0,1.714,81.4,6,61,1644.0,132.0,6.8,79.84
25,0,1.581,47.0,4,70,1518.0,115.0,6.9,48.29
29,1,1.693,76.2,6,78,2420.0,128.0,6.7,76.83
30,1,1.795,103.4,4,54,2753.0,187.0,4.0,104.29
23,1,1.757,86.5,6,58,2741.0,158.0,7.2,88.4
36,1,1.725,68.9,5,60,1955.0,62.0,8.7,69.15
29,1,1.837,77.3,4,40,1762.0,156.0,6.9,76.86
34,1,1.672,67.1,6,43,2199.0,174.0,6.0,68.31
22,1,1.73,63.4,0,56,1609.0,104.0,7.9,64.84
26,1,1.832,84.9,6,55,2916.0,157.0,6.7,87.49
37,1,1.782,64.3,0,60,1976.0,102.0,6.3,65.83
27,0,1.637,47.3,5,45,1454.0,69.0,8.2,48.26
46,0,1.558,60.4,0,26,1471.0,92.0,6.6,60.98
26,0,1.59,61.9,0,84,1889.0,97.0,7.4,63.93
32,1,1.654,62.2,1,27,1826.0,114.0,8.3,63.28
38,1,1.736,56.5,6,71,2159.0,111.0,7.2,58.24
18,1,1.873,82.1,3,49,2472.0,148.0,6.6,82.71
18,0,1.729,62.6,5,59,1969.0,100.0,7.6,63.95
18,1,1.738,73.5,4,68,2397.0,152.0,4.5,74.7
41,0,1.607,80.3,1,46,1845.0,164.0,7.9,82.23
25,0,1.722,79.7,5,28,1628.0,143.0,6.2,79.09
53,1,1.719,54.9,0,75,1644.0,89.0,7.2,55.11
25,0,1.591,50.1,4,68,1786.0,76.0,7.1,51.13
32,1,1.774,79.9,3,56,2352.0,146.0,7.5,81.86
44,1,1.814,62.6,5,71,1627.0,109.0,7.5,61.68
48,1,1.686,56.6,4,62,2076.0,88.0,6.2,57.76
49,1,1.736,75.6,6,54,2198.0,123.0,6.5,77.25
41,0,1.696,73.5,6,51,2086.0,132.0,6.2,74.68
39,1,1.792,80.6,2,12,2045.0,130.0,6.7,81.08
35,1,1.704,75.1,2,60,2434.0,156.0,5.3,77.2
37,0,1.615,59.0,5,35,1351.0,92.0,4.2,58.24
25,0,1.68,58.3,1,64,1699.0,100.0,7.6,59.39
23,1,1.691,73.4,3,49,2961.0,93.0,8.7,78.53
30,0,1.728,90.2,1,20,2013.0,105.0,5.9,90.77
28,0,1.627,57.7,4,54,2105.0,61.0,7.9,60.38
26,1,1.944,75.5,3,46,2506.0,151.0,5.6,76.56
36,1,1.73,59.1,5,83,2430.0,123.0,7.1,60.87
39,1,1.877,73.1,1,15,2271.0,45.0,7.8,74.8
31,0,1.537,62.3,4,38,1428.0,109.0,9.0,63.77
43,0,1.677,52.1,0,31,1300.0,70.0,7.2,52.57
20,0,1.665,71.0,4,71,1575.0,126.0,5.8,70.63
28,1,1.701,81.7,6,59,2352.0,143.0,7.1,82.85
24,1,1.741,55.6,1,70,2013.0,82.0,7.3,57.41
18,1,1.71,57.8,5,33,2363.0,80.0,9.8,61.16
29,1,1.703,71.6,5,36,2235.0,106.0,9.6,73.51
29,0,1.594,61.3,3,56,1641.0,87.0,7.9,61.94
44,0,1.595,65.1,3,90,1300.0,98.0,6.5,64.05
36,1,1.826,76.6,0,66,2022.0,137.0,7.3,77.21
21,1,1.797,93.9,1,37,2459.0,201.0,5.8,94.4
47,1,1.766,70.9,6,59,2286.0,105.0,6.2,71.79
41,1,1.725,64.1,5,67,2035.0,126.0,8.4,65.09
35,1,1.693,59.4,5,28,1954.0,63.0,8.1,60.58
28,1,1.785,84.6,0,50,2819.0,76.0,7.7,88.69
21,1,1.678,69.4,2,51,1654.0,114.0,6.6,68.88
27,1,1.69,78.8,5,91,3123.0,155.0,5.2,82.91
40,1,1.841,86.9,4,57,2665.0,158.0,7.0,88.25
47,1,1.893,62.3,2,88,2228.0,89.0,5.9,64.22
44,0,1.529,46.4,2,40,2047.0,97.0,6.1,50.17
26,1,1.837,68.7,0,66,2377.0,89.0,7.8,71.29
20,0,1.614,54.8,0,27,1492.0,75.0,9.7,55.68
31,1,1.666,62.1,4,67,2059.0,111.0,7.0,64.37
18,1,1.803,90.3,0,47,2676.0,150.0,7.3,93.11
33,1,1.8,94.0,0,49,2333.0,104.0,6.0,94.22
29,1,1.765,74.4,0,69,2008.0,83.0,6.2,74.6
26,0,1.537,53.9,5,71,2093.0,112.0,7.0,57.06
18,1,1.827,77.2,0,61,1614.0,105.0,4.3,75.27
35,0,1.646,70.8,0,91,2151.0,124.0,6.0,73.31
25,0,1.637,69.8,6,56,2307.0,93.0,7.7,72.67
19,1,1.689,79.1,2,62,1709.0,114.0,9.0,78.68
18,1,1.766,89.4,2,60,2084.0,175.0,7.6,90.35
30,0,1.62,46.6,4,69,1883.0,101.0,6.3,49.45
46,1,1.712,67.4,3,55,1945.0,97.0,5.7,67.74
45,0,1.566,71.1,4,35,1618.0,66.0,6.8,72.19
26,1,1.742,66.2,5,63,2530.0,130.0,6.9,67.98
25,1,1.656,78.5,5,24,2110.0,139.0,6.2,79.27
34,1,1.766,72.5,5,72,1671.0,132.0,8.0,71.5
21,1,1.847,85.3,1,78,2760.0,96.0,5.6,87.69
33,0,1.621,52.2,4,45,1725.0,88.0,6.3,53.24
37,1,1.868,70.2,6,45,2412.0,126.0,6.7,71.84
41,0,1.695,81.3,4,16,1815.0,178.0,9.5,83.51
29,1,1.814,92.0,0,54,2209.0,177.0,8.1,94.1
28,1,1.765,77.7,0,63,1887.0,146.0,7.6,78.73
22,1,1.762,61.1,0,62,1704.0,97.0,8.0,62.02
23,1,1.813,76.5,3,60,2108.0,100.0,7.4,76.29
28,1,1.733,83.0,6,50,2969.0,136.0,7.4,85.69
33,1,1.628,86.3,6,73,2839.0,109.0,6.9,89.53
38,0,1.653,61.7,5,36,1941.0,105.0,8.4,63.5
23,1,1.681,49.5,0,36,1932.0,60.0,7.3,50.72
43,1,1.693,79.1,1,28,1597.0,121.0,6.6,78.64
28,0,1.731,70.6,6,42,2195.0,122.0,8.2,72.94
30,0,1.61,73.5,2,32,1693.0,92.0,6.9,74.18
23,1,1.661,73.6,1,9,2590.0,128.0,7.1,76.67
18,1,1.772,68.7,6,41,2771.0,90.0,6.9,71.43
38,0,1.743,72.4,6,71,2022.0,193.0,8.9,74.48
37,0,1.601,76.9,3,61,1333.0,158.0,7.0,75.64
27,1,1.849,80.0,0,68,2367.0,86.0,7.4,81.35
31,1,1.651,54.9,4,66,1762.0,100.0,4.2,55.41
35,0,1.641,46.5,6,49,1404.0,85.0,7.0,47.16
18,1,1.731,60.0,2,50,2015.0,93.0,7.3,60.8
25,0,1.575,56.1,5,41,2161.0,90.0,8.7,58.47
37,1,1.628,70.3,3,60,2041.0,137.0,7.8,71.59
19,0,1.563,50.8,1,112,1820.0,65.0,7.0,52.75
33,1,1.776,94.3,6,29,2338.0,196.0,6.9,95.4
18,1,1.754,59.5,0,75,2295.0,122.0,4.5,61.31
34,0,1.624,90.2,3,44,2194.0,117.0,6.4,93.04
30,1,1.694,85.0,3,84,2489.0,162.0,7.2,87.4
18,1,1.839,82.1,4,62,2840.0,156.0,4.8,84.76
40,1,1.762,56.3,5,44,2307.0,61.0,7.5,58.9
23,1,1.868,84.4,4,50,2167.0,189.0,8.5,85.64
23,1,1.723,69.9,4,69,2135.0,105.0,8.6,71.36
32,0,1.666,55.6,5,89,2081.0,101.0,6.3,58.47
40,1,1.817,83.8,1,71,2043.0,170.0,8.8,84.21
21,1,1.646,57.8,4,46,2316.0,114.0,6.9,59.88
31,1,1.675,61.0,5,65,2234.0,102.0,6.1,61.86
34,0,1.697,64.2,3,87,1691.0,123.0,6.6,64.35
36,0,1.538,51.7,6,64,1672.0,117.0,7.2,53.21
32,1,1.633,86.1,3,52,1681.0,139.0,4.7,85.31
27,1,1.891,80.3,5,27,2698.0,116.0,8.2,84.02
23,0,1.584,62.9,3,80,1488.0,111.0,5.0,62.25
31,1,1.773,75.0,6,52,2341.0,109.0,6.9,76.18
20,0,1.636,67.8,2,41,1573.0,133.0,8.2,68.34
18,0,1.583,69.1,2,70,2312.0,88.0,7.1,71.73
34,0,1.583,67.2,5,70,2519.0,99.0,7.7,70.63
38,1,1.791,83.5,5,37,2424.0,169.0,8.5,85.7
18,0,1.622,69.4,1,40,1938.0,107.0,8.0,70.72
21,0,1.629,64.9,6,66,2181.0,125.0,7.4,66.83
36,0,1.577,57.4,5,79,1323.0,115.0,9.8,57.72
49,1,1.81,69.1,4,48,2247.0,99.0,5.5,70.48
30,1,1.712,70.7,3,51,2169.0,103.0,7.5,72.13
23,1,1.661,67.4,4,41,1982.0,148.0,7.7,68.25
28,1,1.669,70.2,5,80,2600.0,136.0,5.1,72.69
42,0,1.613,65.7,3,68,1870.0,99.0,6.4,67.6
24,1,1.831,80.2,2,33,2313.0,134.0,5.9,80.66
23,1,1.654,64.9,3,88,2193.0,102.0,7.2,66.33
26,1,1.779,69.8,1,124,2238.0,129.0,6.7,71.4
21,0,1.699,74.8,0,19,1526.0,117.0,9.3,75.0
31,0,1.45,48.7,6,62,1777.0,89.0,8.3,51.17
45,1,1.855,85.0,3,24,2582.0,104.0,7.4,86.57
33,1,1.729,82.1,5,49,1954.0,157.0,7.1,82.91
28,1,1.803,68.2,1,26,1750.0,97.0,4.6,67.3
27,0,1.63,76.2,2,84,2054.0,146.0,5.2,77.32
18,0,1.481,52.9,2,48,1334.0,53.0,7.6,53.27
38,0,1.745,100.1,0,75,1945.0,132.0,7.3,99.71
29,1,1.659,68.0,5,58,2408.0,132.0,5.2,69.74
28,0,1.579,66.5,4,89,1377.0,112.0,7.8,65.6
59,1,1.806,79.9,4,31,2122.0,115.0,6.6,81.61
33,0,1.522,45.0,3,11,1300.0,95.0,5.9,45.42
23,1,1.874,74.5,2,43,2807.0,143.0,7.4,77.51
26,0,1.492,57.9,1,48,1375.0,74.0,7.7,58.21
40,1,1.723,67.1,0,23,2299.0,97.0,6.4,69.45
31,0,1.65,48.1,4,64,1947.0,68.0,7.8,49.91
18,0,1.67,71.3,3,63,2238.0,110.0,6.3,73.04
38,1,1.682,56.2,3,82,1969.0,89.0,6.5,57.9
24,1,1.79,83.4,2,76,2391.0,118.0,4.4,84.21
47,0,1.635,79.4,1,45,1743.0,142.0,7.5,81.21
40,1,1.726,85.0,1,32,1949.0,152.0,5.3,85.3
26,1,1.787,97.0,4,21,2612.0,197.0,6.0,98.99
42,1,1.741,68.1,3,51,1960.0,120.0,6.5,67.92
31,0,1.627,61.5,2,51,1927.0,63.0,8.3,63.83
38,1,1.956,78.7,1,63,2761.0,121.0,6.5,80.87
34,1,1.726,68.1,3,22,1817.0,130.0,8.4,69.69
22,1,1.605,52.9,1,58,1404.0,85.0,5.4,51.94
24,1,1.701,54.9,0,66,1542.0,99.0,7.6,55.05
39,0,1.695,83.9,1,42,2107.0,161.0,8.0,85.91
27,0,1.612,50.3,1,66,1577.0,53.0,7.0,50.45
26,0,1.665,83.4,3,50,2077.0,154.0,8.3,85.26
21,1,1.788,95.7,1,79,2013.0,160.0,6.7,94.3
34,0,1.542,62.7,1,84,1983.0,133.0,7.2,65.1
49,1,1.74,60.5,0,56,1764.0,78.0,4.1,60.29
20,1,1.734,55.6,1,72,1950.0,109.0,6.5,56.21
30,0,1.59,58.3,1,28,1667.0,89.0,5.9,59.76
43,0,1.708,77.0,3,46,1452.0,130.0,8.1,76.62
29,0,1.641,68.2,2,62,1870.0,109.0,8.0,69.38
34,0,1.741,62.1,0,46,1407.0,131.0,8.4,61.73
20,1,1.795,86.7,1,49,2482.0,106.0,4.5,87.9
34,1,1.822,103.5,2,36,2427.0,171.0,7.3,105.16
28,0,1.693,64.1,3,90,1763.0,131.0,7.5,64.92
39,1,1.785,80.3,0,36,2153.0,177.0,5.0,81.63
41,1,1.843,64.7,5,70,1642.0,90.0,5.5,63.69
53,0,1.584,57.5,3,45,2374.0,116.0,9.5,62.68
35,0,1.759,82.1,2,67,1681.0,122.0,7.9,82.71
33,1,1.677,74.3,0,42,2084.0,135.0,6.7,76.65
32,0,1.585,54.9,1,48,1738.0,73.0,8.3,57.0
27,0,1.622,62.7,2,63,1994.0,128.0,5.8,63.85
33,0,1.645,63.4,3,67,1748.0,97.0,7.4,64.73
27,1,1.752,74.9,0,73,1814.0,138.0,7.9,75.39
32,1,1.839,84.8,2,56,2705.0,132.0,5.5,86.33
42,1,1.713,53.7,6,76,2318.0,73.0,6.1,55.5
21,1,1.746,70.8,5,60,2283.0,127.0,7.1,72.13
40,1,1.839,84.1,2,52,2613.0,101.0,8.4,86.79
42,1,1.857,76.8,3,72,2416.0,115.0,8.9,78.59
29,1,1.712,65.8,3,57,1997.0,170.0,8.9,67.07
18,0,1.584,58.9,1,60,2052.0,98.0,7.9,61.07
25,1,1.781,70.2,1,35,2013.0,110.0,7.2,70.92
42,0,1.607,62.3,2,42,1335.0,72.0,9.8,62.68
30,0,1.683,70.4,3,63,1578.0,68.0,7.4,71.07
21,1,1.85,59.7,6,37,2136.0,90.0,7.7,60.49
25,0,1.608,67.4,2,56,2018.0,93.0,8.4,68.17
38,0,1.678,67.5,6,17,2084.0,97.0,6.1,69.0
35,1,1.791,100.0,4,93,3351.0,138.0,8.2,103.69
28,0,1.623,54.4,5,68,1756.0,68.0,6.2,55.15
27,1,1.855,73.3,3,46,1914.0,109.0,8.2,72.98
26,0,1.618,57.9,6,85,1644.0,68.0,8.3,59.03
22,1,1.74,79.2,4,37,2236.0,135.0,7.8,80.38
45,0,1.612,47.9,6,44,1496.0,72.0,7.4,48.53
27,1,1.71,62.5,4,65,2384.0,101.0,8.7,64.85
41,0,1.514,60.3,3,74,2358.0,107.0,5.5,63.85
44,1,1.887,71.3,1,44,2633.0,82.0,6.5,74.6
39,0,1.699,87.8,2,64,2230.0,100.0,6.2,89.07
26,0,1.598,57.2,0,62,1819.0,91.0,6.9,59.06
34,1,1.737,60.8,0,54,1381.0,70.0,6.9,59.78
30,0,1.628,71.3,5,44,1868.0,104.0,6.9,71.52
22,1,1.782,94.6,6,72,2208.0,142.0,9.8,94.56
33,0,1.673,70.1,3,15,2152.0,143.0,6.5,72.77
19,1,1.704,83.3,6,58,1906.0,193.0,6.9,82.8
41,0,1.607,77.5,1,41,2246.0,93.0,9.2,80.58
26,0,1.579,49.6,1,53,1599.0,59.0,8.1,50.8
32,1,1.758,87.6,1,41,2796.0,88.0,7.5,90.49
33,1,1.779,58.0,0,31,1567.0,99.0,8.7,58.61
28,1,1.718,78.9,4,42,2298.0,147.0,6.0,79.51
35,0,1.597,59.1,5,44,1790.0,128.0,8.4,61.08
26,1,1.745,84.3,6,50,2658.0,206.0,8.7,88.3
38,1,1.705,83.6,0,55,2215.0,122.0,8.9,85.68
18,0,1.633,74.4,1,68,2319.0,80.0,7.8,77.74
31,1,1.897,92.3,0,85,2106.0,169.0,6.7,92.29
47,0,1.601,74.1,0,56,1300.0,87.0,8.4,73.95
21,1,1.735,74.3,5,34,1902.0,90.0,5.7,73.22
